Owner,Repository Name,Repository Link,Stars,Forks,Issues,Pull Requests,Description,File Name,Dependency Name,Spec Name,Testing Framework,Created At
google-research,google-research,https://github.com/google-research/google-research,34076,7768,1253,874,Google Research,chick_hatch.py,pydocs,Pydocs_MustShutdownExecutor,pytest,10/4/2018
hasura,graphql-engine,https://github.com/hasura/graphql-engine,31125,2722,6244,3379,"Blazing fast<> instant realtime GraphQL APIs on your DB with fine grained access control, also trigger webhooks on database events.",fabfile.py,pydocs,Pydocs_MustShutdownExecutor,pytest,6/18/2018
numpy,numpy,https://github.com/numpy/numpy,27809,9836,12803,14726,The fundamental package for scientific computing with Python.,1.py,pydocs,Pydocs_MustShutdownExecutor,pytest,9/13/2010
wazuh,wazuh,https://github.com/wazuh/wazuh,10668,1614,17784,7743,Wazuh - The Open Source Security Platform. Unified XDR and SIEM protection for endpoints and cloud workloads.,stream.py,pydocs,Pydocs_ShouldNotInstantiateStreamWriter,pytest,8/11/2015
aws,amazon-sagemaker-examples,https://github.com/aws/amazon-sagemaker-examples,10078,6587,1429,3269,"Example 📓 Jupyter notebooks that demonstrate how to build<> train, and deploy machine learning models using 🧠 Amazon SageMaker. ",extraction.py,pydocs,Pydocs_MustShutdownExecutor,pytest,10/23/2017
kyutai-labs,moshi,https://github.com/kyutai-labs/moshi,6355,482,67,73,N/A,__init__.py,pydocs,Pydocs_ShouldNotInstantiateStreamWriter,pytest,8/7/2024
spack,spack,https://github.com/spack/spack,4257,2147,8489,38216,"A flexible package manager that supports multiple versions<> configurations, platforms, and compilers.",lll.py,pydocs,Pydocs_NoReadAfterAccess,pytest,1/8/2014
syslog-ng,syslog-ng,https://github.com/syslog-ng/syslog-ng,2122,466,1634,3439,"syslog-ng is an enhanced log daemon<> supporting a wide range of input and output methods: syslog, unstructured text, queueing, SQL & NoSQL.",batch_downloader.py,pydocs,Pydocs_MustShutdownExecutor,pytest,11/5/2013
GeoNode,geonode,https://github.com/GeoNode/geonode,1447,988,4387,8230,"GeoNode is an open source platform that facilitates the creation<> sharing, and collaborative use of geospatial data.",filesystem.py,pydocs,Pydocs_NoReadAfterAccess,pytest,6/3/2010
roboflow,inference,https://github.com/roboflow/inference,1322,120,133,607,"A fast<> easy-to-use, production-ready inference server for computer vision supporting deployment of many popular model architectures and fine-tuned models.",__init__.py,pydocs,Pydocs_ShouldNotInstantiateStreamWriter,pytest,7/31/2023
allenai,ai2thor,https://github.com/allenai/ai2thor,1154,210,598,589,An open-source platform for Visual AI.,uds.py,pydocs,Pydocs_MustShutdownExecutor,pytest,10/17/2017
sopel-irc,sopel,https://github.com/sopel-irc/sopel,949,394,1253,1370,:robot::speech_balloon: An easy-to-use and highly extensible IRC Bot framework. Formerly Willie.,test_streams.py,pydocs,Pydocs_ShouldUseStreamWriterCorrectly,pytest,12/22/2011
DataDog,integrations-core,https://github.com/DataDog/integrations-core,928,1378,650,18146,Core integrations of the Datadog Agent,00-global-setup.py,pydocs,Pydocs_MustShutdownExecutor,pytest,12/1/2015
neo4j,neo4j-python-driver,https://github.com/neo4j/neo4j-python-driver,897,184,250,831,Neo4j Bolt driver for Python,http_writer.py,pydocs,Pydocs_ShouldNotInstantiateStreamWriter,pytest,5/5/2015
