Owner,Repository Name,Repository Link,Stars,Forks,Issues,Pull Requests,Description,File Name,Dependency Name,Spec Name,Testing Framework,Created At
ray-project,ray,https://github.com/ray-project/ray,33360,5546,18515,29155,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads.,logging.py,pydocs,Logging_MustNotLogAfterShutdown,pytest,10/25/2016
pypa,pipenv,https://github.com/pypa/pipenv,24840,1830,4244,1939, Python Development Workflow for Humans.,logger.py,pydocs,Logging_MustNotLogAfterShutdown,pytest,1/20/2017
conda,conda,https://github.com/conda/conda,6388,1619,9727,4486,A system-level<> binary package and environment manager running on all major operating systems and platforms.,fabfile.py,pydocs,FTP_MustLoginOnceOnly,pytest,10/15/2012
rotki,rotki,https://github.com/rotki/rotki,2825,516,2613,6051,"A portfolio tracking<> analytics, accounting and management application that protects your privacy",base_reinforcement_logger.py,pydocs,Logging_MustNotLogAfterShutdown,pytest,3/5/2018
redballoonsecurity,ofrak,https://github.com/redballoonsecurity/ofrak,1861,128,107,392,"OFRAK: unpack<> modify, and repack binaries.",ofrak_context.py,pydocs,Logging_MustNotLogAfterShutdown,pytest,8/8/2022
wummel,linkchecker,https://github.com/wummel/linkchecker,1418,233,734,70,check links in web documents or full websites,log.py,pydocs,Logging_MustNotLogAfterShutdown,pytest,12/19/2012
totalgood,nlpia,https://github.com/totalgood/nlpia,619,264,30,19,"Examples and libraries for ""Natural Language Processing in Action"" book",dwnFTP.py,pydocs,FTP_MustLoginOnceOnly,pytest,10/25/2016
openembedded,bitbake,https://github.com/openembedded/bitbake,428,231,0,37,The official bitbake Git is at https://git.openembedded.org/bitbake/. Do not open issues or file pull requests here.,generate_log_files.py,pydocs,Logging_MustNotLogAfterShutdown,pytest,5/3/2011
yoctoproject,poky,https://github.com/yoctoproject/poky,247,203,0,10,Mirror of https://git.yoctoproject.org/poky/.,agreement.py,pydocs,Logging_MustNotLogAfterShutdown,pytest,11/25/2021
Uninett,nav,https://github.com/Uninett/nav,183,38,2225,891,Network Administration Visualized,utils.py,pydocs,Logging_MustNotLogAfterShutdown,pytest,1/17/2017
kaapana,kaapana,https://github.com/kaapana/kaapana,157,43,8,17,Kaapana (from the hawaiian word kaʻāpana<> meaning “distributor” or “part”) is an open source toolkit for state of the art platform provisioning in the field of medical data analysis. The applications comprise AI-based workflows and federated learning scenarios with a focus on radiological and radiotherapeutic imaging.,task_command.py,pydocs,Logging_MustNotLogAfterShutdown,pytest,8/6/2020
yandex,yatool,https://github.com/yandex/yatool,145,8,15,6,"Yatool is a cross-platform distribution<> building, testing, and debugging toolkit focused on monorepositories",process.py,pydocs,Logging_MustNotLogAfterShutdown,pytest,11/24/2023
PacktPublishing,Mastering-Object-Oriented-Python-Second-Edition,https://github.com/PacktPublishing/Mastering-Object-Oriented-Python-Second-Edition,143,102,1,0,Mastering Object-Oriented Python - Second Edition<> published by Packt,sbat.py,pydocs,Logging_MustNotLogAfterShutdown,pytest,5/20/2019
ryanmrestivo,red-team,https://github.com/ryanmrestivo/red-team,123,34,0,0,"Notes<> red team materials, testing tools, etc.",index.py,pydocs,FTP_MustLoginOnceOnly,pytest,4/12/2021
smarthomeNG,smarthome,https://github.com/smarthomeNG/smarthome,122,90,255,417,Device integration platform for your smart home,convert_model.py,pydocs,Logging_MustNotLogAfterShutdown,pytest,3/15/2016
CERT-Polska,n6,https://github.com/CERT-Polska/n6,121,22,4,42,Automated handling of data feeds for security teams,42344_1094011950.py,pydocs,Logging_MustNotLogAfterShutdown,pytest,6/22/2018
kaizen-ai,kaizenflow,https://github.com/kaizen-ai/kaizenflow,111,77,512,612,KaizenFlow is a framework for Bayesian reasoning and AI/ML stream computing,cobol_reader.py,pydocs,Logging_MustNotLogAfterShutdown,pytest,1/8/2023
SBRG,ssbio,https://github.com/SBRG/ssbio,103,28,41,17,A Python framework for structural systems biology,ClientFTP.py,pydocs,FTP_MustLoginOnceOnly,pytest,1/25/2016
EldarMuradov,EraEngine,https://github.com/EldarMuradov/EraEngine,100,7,8,9,Open source C++ 3D game engine ,manager.py,pydocs,Logging_MustNotLogAfterShutdown,pytest,11/20/2023
cambridge-cares,TheWorldAvatar,https://github.com/cambridge-cares/TheWorldAvatar,85,25,343,1024,A knowledge-graph-based digital twin of the world.,base_command.py,pydocs,Logging_MustNotLogAfterShutdown,pytest,3/6/2021
devsoc-unsw,circles,https://github.com/devsoc-unsw/circles,55,10,117,1078,The open-source degree planner for UNSW students. Features an interactive drag-and-drop interface for easy term planning and automatic progression checking to help you stay on track for graduation. ,PublishSpacedock.py,pydocs,Logging_MustNotLogAfterShutdown,pytest,3/6/2021
opensvc,opensvc,https://github.com/opensvc/opensvc,35,11,42,626,The OpenSVC node agent,server.py,pydocs,Logging_MustNotLogAfterShutdown,pytest,9/30/2018
slott56,py-web-tool,https://github.com/slott56/py-web-tool,34,6,13,15,pyWebTool supports Literate Programming by trying to work with ANY markup language and any programming language,MFBC_github.py,pydocs,Logging_MustNotLogAfterShutdown,pytest,6/12/2018
superdesk,superdesk-core,https://github.com/superdesk/superdesk-core,29,79,35,2694,Common server modules for superdesk,ftp.py,pydocs,FTP_MustLoginOnceOnly,pytest,8/20/2015
