Owner,Repository Name,Repository Link,Stars,Forks,Issues,Pull Requests,Description,File Name,Dependency Name,Spec Name,Testing Framework,Created At
apache,spark,https://github.com/apache/spark,39563,26968,0,48636,Apache Spark - A unified analytics engine for large-scale data processing,test_mirror.py,pydocs,Pydocs_MustFlushMmap,pytest,2/25/2014
patroni,patroni,https://github.com/patroni/patroni,6749,829,1745,1440,"A template for PostgreSQL High Availability with Etcd<> Consul, ZooKeeper, or Kubernetes",Client.py,pydocs,Pydocs_MustCloseSocket|Pydocs_MustShutdownBeforeCloseSocket,pytest,7/8/2015
PaddlePaddle,PaddleNLP,https://github.com/PaddlePaddle/PaddleNLP,12072,2902,3601,5626,"👑 Easy-to-use and powerful NLP and LLM library with 🤗 Awesome model zoo<> supporting wide-range of NLP tasks from research to industrial applications, including 🗂Text Classification,  🔍 Neural Search, ❓ Question Answering, ℹ️ Information Extraction, 📄 Document Intelligence, 💌 Sentiment Analysis etc. ",image.py,pydocs,Pydocs_MustUnlinkSharedMemory,pytest,2/5/2021
google,oss-fuzz,https://github.com/google/oss-fuzz,10482,2110,2365,10222,OSS-Fuzz - continuous fuzzing for open source software.,osxMosdefShellServer.py,pydocs,Pydocs_MustFlushMmap,pytest,7/20/2016
cider-security-research,cicd-goat,https://github.com/cider-security-research/cicd-goat,1934,301,27,62,A deliberately vulnerable CI/CD environment. Learn CI/CD security through multiple challenges.,HibernetV3.0.py,pydocs|requests,Pydocs_MustCloseSocket|Pydocs_MustShutdownBeforeCloseSocket|Requests_MustCloseSession,pytest,3/27/2022
Azure,Azure-Sentinel,https://github.com/Azure/Azure-Sentinel,4569,2879,1372,9898,Cloud-native SIEM for intelligent security analytics for your entire enterprise.,_objects.py,pydocs,Pydocs_MustShutdownBeforeCloseSocket,pytest,8/18/2018
allenai,OLMo,https://github.com/allenai/OLMo,4559,454,196,542,"Modeling<> training, eval, and inference code for OLMo",language_modeling_hf.py,pydocs,Pydocs_MustUnlinkSharedMemory,pytest,2/20/2023
ydb-platform,ydb,https://github.com/ydb-platform/ydb,3982,464,1881,9057,YDB is an open source Distributed SQL Database that combines high availability and scalability with strong consistency and ACID transactions,modscan,pydocs,Pydocs_MustCloseSocket,pytest,2/7/2022
determined-ai,determined,https://github.com/determined-ai/determined,3027,346,385,9743,"Determined is an open-source machine learning platform that simplifies distributed training<> hyperparameter tuning, experiment tracking, and resource management. Works with PyTorch and TensorFlow.",test_sock_lowlevel.py,pydocs,Pydocs_MustCloseSocket,pytest,4/7/2020
BlackArch,blackarch,https://github.com/BlackArch/blackarch,2807,555,2543,1644,An ArchLinux based distribution for penetration testers and security researchers.,test_sock_lowlevel.py,pydocs,Pydocs_MustCloseSocket,pytest,8/16/2012
iree-org,iree,https://github.com/iree-org/iree,2794,586,3917,14918,A retargetable MLIR-based machine learning compiler and runtime toolkit.,bram.py,pydocs,Pydocs_MustFlushMmap,pytest,9/12/2019
mars-project,mars,https://github.com/mars-project/mars,2703,321,1178,2158,"Mars is a tensor-based unified framework for large-scale data computation which scales numpy<> pandas, scikit-learn and Python functions.",realtime_viewport.py,pydocs,Pydocs_MustUnlinkSharedMemory,pytest,12/5/2018
dvlab-research,LongLoRA,https://github.com/dvlab-research/LongLoRA,2622,274,173,22,Code and documents of LongLoRA and LongAlpaca (ICLR 2024 Oral),map.py,pydocs,Pydocs_MustFlushMmap,pytest,9/21/2023
lowRISC,opentitan,https://github.com/lowRISC/opentitan,2560,745,6773,18114,OpenTitan: Open source silicon root of trust,test_vpi_mmap.py,pydocs,Pydocs_MustFlushMmap,pytest,8/26/2019
pytorch,rl,https://github.com/pytorch/rl,2291,303,625,1864,"A modular<> primitive-first, python-first PyTorch library for Reinforcement Learning.",heap.py,pydocs,Pydocs_MustFlushMmap,pytest,2/1/2022
microsoft,DeBERTa,https://github.com/microsoft/DeBERTa,1982,218,123,30,The implementation of DeBERTa,ptmalloc.py,pydocs,Pydocs_MustFlushMmap,pytest,6/8/2020
ytsaurus,ytsaurus,https://github.com/ytsaurus/ytsaurus,1876,133,384,521,YTsaurus is a scalable and fault-tolerant open-source big data platform.,modscan,pydocs,Pydocs_MustCloseSocket,pytest,12/5/2022
MineDojo,MineDojo,https://github.com/MineDojo/MineDojo,1781,155,122,16,Building Open-Ended Embodied Agents with Internet-Scale Knowledge,cam_socket.py,pydocs,Pydocs_MustCloseSocket,pytest,6/18/2022
deluge-torrent,deluge,https://github.com/deluge-torrent/deluge,1545,326,0,467,Deluge BitTorrent client - Git mirror<> PRs only,test_socketserver.py,pydocs,Pydocs_MustCloseSocket,pytest,2/20/2014
roboflow,inference,https://github.com/roboflow/inference,1339,121,134,611,"A fast<> easy-to-use, production-ready inference server for computer vision supporting deployment of many popular model architectures and fine-tuned models.",shm_broadcast.py,pydocs,Pydocs_MustUnlinkSharedMemory,pytest,7/31/2023
cloudera,hue,https://github.com/cloudera/hue,1168,351,1232,2540,Open source SQL Query Assistant service for Databases/Warehouses,server.py,pydocs,Pydocs_MustCloseSocket,pytest,6/21/2010
neptune-ai,neptune-client,https://github.com/neptune-ai/neptune-client,578,63,238,1635,📘 The experiment tracker for foundation model training,cifar_old.py,pydocs,Pydocs_MustCloseSocket|Pydocs_MustShutdownBeforeCloseSocket,pytest,2/11/2019
ryfeus,lambda-packs,https://github.com/ryfeus/lambda-packs,1113,235,48,11,Precompiled packages for AWS Lambda,mmap_read.py,pydocs,Pydocs_MustFlushMmap,pytest,10/19/2016
PygmalionAI,aphrodite-engine,https://github.com/PygmalionAI/aphrodite-engine,1076,118,188,578,Large-scale LLM inference engine,shared_memory_generator.py,pydocs,Pydocs_MustUnlinkSharedMemory,pytest,6/23/2023
Athena-OS,athena,https://github.com/Athena-OS/athena,1036,79,132,15,Athena OS is a Arch/Nix-based distro focused on Cybersecurity. Learn<> practice and enjoy with any hacking tool!,modscan,pydocs,Pydocs_MustCloseSocket,pytest,6/14/2022
Charcoal-SE,SmokeDetector,https://github.com/Charcoal-SE/SmokeDetector,475,176,407,13243,Headless chatbot that detects spam and posts links to it in chatrooms for quick deletion.,mp.py,pydocs,Pydocs_MustCloseSocket|Pydocs_MustShutdownBeforeCloseSocket,pytest,1/30/2014
v6d-io,v6d,https://github.com/v6d-io/v6d,834,111,616,1336,vineyard (v6d): an in-memory immutable data manager. (Project under CNCF<> TAG-Storage),shared_memory_generator.py,pydocs,Pydocs_MustUnlinkSharedMemory,pytest,10/23/2020
AgnostiqHQ,covalent,https://github.com/AgnostiqHQ/covalent,768,88,813,1014,Pythonic tool for orchestrating machine-learning/high performance/quantum-computing workflows in heterogeneous compute environments.,alphaomegarawio.py,pydocs,Pydocs_MustFlushMmap,pytest,11/3/2021
GAIR-NLP,anole,https://github.com/GAIR-NLP/anole,662,36,43,2,Anole: An Open<> Autoregressive and Native Multimodal Models for Interleaved Image-Text Generation,SnifferProcess.py,pydocs,Pydocs_MustCloseSocket,pytest,7/1/2024
optuna,optuna-dashboard,https://github.com/optuna/optuna-dashboard,519,86,181,737,Real-time Web Dashboard for Optuna.,backup_cloud.py,pydocs,Pydocs_MustCloseSocket,pytest,10/24/2020
oracle,oci-cli,https://github.com/oracle/oci-cli,442,184,417,420,Command Line Interface for Oracle Cloud Infrastructure,hackerone.py,requests,Requests_MustCloseSession,pytest,11/4/2016
mees,calvin,https://github.com/mees/calvin,385,50,80,12,CALVIN - A benchmark for Language-Conditioned Policy Learning for Long-Horizon Robot Manipulation Tasks,array.py,pydocs,Pydocs_MustUnlinkSharedMemory,pytest,7/20/2021
nipy,nipy,https://github.com/nipy/nipy,383,139,170,412,Neuroimaging in Python FMRI analysis package,util.py,pydocs,Pydocs_MustFlushMmap,pytest,5/2/2010
gem,oq-engine,https://github.com/gem/oq-engine,380,269,1418,8667,OpenQuake Engine: a software for Seismic Hazard and Risk Analysis,DEPRECATED_latent_evaluator.py,pydocs,Pydocs_MustUnlinkSharedMemory,pytest,6/28/2010
HKUNLP,ChunkLlama,https://github.com/HKUNLP/ChunkLlama,346,18,21,4,"[ICML'24]  Data and code for our paper ""Training-Free Long-Context Scaling of Large Language Models""",loader.py,pydocs,Pydocs_MustUnlinkSharedMemory,pytest,2/19/2024
