Owner,Repository Name,Repository Link,Stars,Forks,Issues,Pull Requests,Description,File Name,Dependency Name,Spec Name,Testing Framework,Created At
google-research,google-research,https://github.com/google-research/google-research,33730,7725,1229,867,Google Research,argparse.py,pydocs,ArgParse_Parent,pytest,10/4/2018
ray-project,ray,https://github.com/ray-project/ray,32839,5467,18313,28832,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads.,decode.py,pydocs,faulthandler_disableBeforeClose,pytest,10/25/2016
samuelclay,NewsBlur,https://github.com/samuelclay/NewsBlur,6818,971,1415,473,NewsBlur is a personal news reader that brings people together to talk about the world. A new sound of an old instrument.,endpoints.py,requests,DataMustOpenInBinary,pytest,1/5/2009
Ultimaker,Cura,https://github.com/Ultimaker/Cura,6043,1932,15556,3968,3D printer / slicing GUI built on top of the Uranium framework,__init__.py,pydocs,faulthandler_disableBeforeClose,pytest,6/16/2014
TandoorRecipes,recipes,https://github.com/TandoorRecipes/recipes,5286,552,1734,1286,"Application for managing recipes<> planning meals, building shopping lists and much much more!",mesh_func.py,requests,DataMustOpenInBinary,pytest,11/13/2019
awslabs,gluonts,https://github.com/awslabs/gluonts,4521,715,954,1813,Probabilistic time series modeling in Python,train.py,pydocs,ArgParse_Parent,pytest,5/15/2019
Azure,azure-sdk-for-python,https://github.com/Azure/azure-sdk-for-python,4454,2693,10045,27006,This repository is for active development of the Azure SDK for Python. For consumers of the SDK we recommend visiting our public developer docs at https://learn.microsoft.com/python/azure/ or our versioned developer docs at https://azure.github.io/azure-sdk-for-python. ,wordpress_add.py,requests,DataMustOpenInBinary,pytest,4/24/2012
pyqtgraph,pyqtgraph,https://github.com/pyqtgraph/pyqtgraph,3832,1072,1269,1714,Fast data visualization and GUI tools for scientific / engineering applications,runner.py,pydocs,faulthandler_disableBeforeClose,pytest,9/12/2013
ydb-platform,ydb,https://github.com/ydb-platform/ydb,3771,427,1510,7039,YDB is an open source Distributed SQL Database that combines high availability and scalability with strong consistency and ACID transactions,absltest.py,pydocs,faulthandler_disableBeforeClose,pytest,2/7/2022
waditu,czsc,https://github.com/waditu/czsc,2683,908,79,102,缠中说禅技术分析工具；缠论；股票；期货；Quant；量化交易,l.py,requests,DataMustOpenInBinary,pytest,6/11/2019
pyston,pyston,https://github.com/pyston/pyston,2502,89,96,215,(No longer maintained) A faster and highly-compatible implementation of the Python programming language.,test_regrtest.py,pydocs,faulthandler_tracetrackDumpBeforeClose,pytest,3/1/2021
lowRISC,opentitan,https://github.com/lowRISC/opentitan,2485,724,6677,17791,OpenTitan: Open source silicon root of trust,old_main.py,pydocs,ArgParse_Parent,pytest,8/26/2019
mitogen-hq,mitogen,https://github.com/mitogen-hq/mitogen,2302,186,524,291,Distributed self-replicating programs in Python,absltest.py,pydocs,faulthandler_disableBeforeClose,pytest,8/14/2016
oegedijk,explainerdashboard,https://github.com/oegedijk/explainerdashboard,2285,324,235,49,"Quickly build Explainable AI dashboards that show the inner workings of so-called ""blackbox"" machine learning models.",archive.py,pydocs,Arrays_Comparable,pytest,10/30/2019
intel,neural-compressor,https://github.com/intel/neural-compressor,2123,247,197,1784,"SOTA low-bit LLM quantization (INT8/FP8/INT4/FP4/NF4) & sparsity<> leading model compression techniques on TensorFlow<> PyTorch, and ONNX Runtime",psiPerGene.py,pydocs,ArgParse_Parent,pytest,7/21/2020
cider-security-research,cicd-goat,https://github.com/cider-security-research/cicd-goat,1896,291,27,60,A deliberately vulnerable CI/CD environment. Learn CI/CD security through multiple challenges.,ai.py,requests,DataMustOpenInBinary,pytest,3/27/2022
stanford-crfm,helm,https://github.com/stanford-crfm/helm,1840,237,1064,1897,Holistic Evaluation of Language Models (HELM)<> a framework to increase the transparency of language models (https://arxiv.org/abs/2211.09110). This framework is also used to evaluate text-to-image models in Holistic Evaluation of Text-to-Image Models (HEIM) (https://arxiv.org/abs/2311.04287).,utils.py,pydocs,faulthandler_disableBeforeClose,pytest,11/29/2021
ytsaurus,ytsaurus,https://github.com/ytsaurus/ytsaurus,1816,124,357,454,YTsaurus is a scalable and fault-tolerant open-source big data platform.,absltest.py,pydocs,faulthandler_disableBeforeClose,pytest,12/5/2022
indico,indico,https://github.com/indico/indico,1722,416,3578,2916,"Indico - A feature-rich event management system<> made @ CERN, the place where the Web was born.",submission_manager.py,pydocs,Arrays_Comparable,pytest,7/27/2011
ceccopierangiolieugenio,pyTermTk,https://github.com/ceccopierangiolieugenio/pyTermTk,580,21,117,141,Python Terminal Toolkit - a Spiced Up TUI Library 🌶️ ,31435.py,pydocs,Console_CloseReader|Console_CloseWriter,pytest,2/16/2021
lidaohang,ceph_study,https://github.com/lidaohang/ceph_study,385,208,0,0,ceph学习资料整理,vm.py,pydocs,Console_CloseErrorWriter|Console_CloseReader|Console_CloseWriter,pytest,4/11/2018
Xilinx,brevitas,https://github.com/Xilinx/brevitas,1139,190,430,542,Brevitas: neural network quantization in PyTorch,yabai_manager_CLI.py,pydocs,ArgParse_Parent,pytest,7/10/2018
ryfeus,lambda-packs,https://github.com/ryfeus/lambda-packs,1108,235,48,11,Precompiled packages for AWS Lambda,run_mej_dists_edit,pydocs,faulthandler_disableBeforeClose,pytest,10/19/2016
sajjadium,ctf-archives,https://github.com/sajjadium/ctf-archives,791,126,2,4, CTF Archives: Collection of CTF Challenges.,test_regrtest.py,pydocs,faulthandler_tracetrackDumpBeforeClose,pytest,6/10/2021
